hen-bu-man-yi , 陈景润“1+2”证明论文简化版原文
piao-bai-de-bai , _(:з」∠)_哥德巴赫猜想应该会更滋润吧（鼓吹一波中南）
bj365 , 酿希匹，别说保送清华北大上研了，当教授都没问题。别说在清北当教授了，哈佛数学系都要过来挖你！诺贝尔奖里没有数学奖，但是数学有费尔兹奖啊！前些年有个俄罗斯怪才证明了庞加莱猜想，被授予了费尔兹奖。你要是证明了哥德巴赫猜想，给你授三次费尔兹奖也不为过啊。你即使得了一次费尔兹奖，你这倍子直接拿下了，还保什么送啊？
chen-tian-yi-56-62 , 我得和牛顿、阿基米德和高斯开个会看他们愿不愿你收你当学生..
chang-de-chou-ni-huan-bao-shou-74 , 前辈好，希望加盟武大数院，明年我想听您讲课
 , 作为一个特别喜爱数学的人，听着徐迟的报道文学长大，谁没有做过证明哥猜的美梦呢。遗憾的是，这只能是我的一个梦而已。
 , 离2019不远啦，不如大家来猜猜这个高中生1月一号的证明是什么样的吧 以一个没有参加过竞赛，或者有额外培训的普通高中生为基础，来猜测 @证明 会以什么样的式子来证明这个理论 
san-xian-guo-zi , 这就好像在问：原子弹爆炸后，爆炸中心的蚂蚁会挂么？
zhang-li-12-9-32 , 为什么我看到这个问题就感觉你看了学霸的黑科技系统这本书呢！！！大佬那是小说呀
qin-guan-33-55 , 本人数学与计算机杂种专业，懂得都懂，在数学分析与高等代数中挣扎，没有想到已经有大牛证明出了哥德巴赫，你去什么清北？不来我top1'TYUT?黄庆学老师的位置就是你的，耶稣都留不住，我说的
 , 有病吧，还去读书？至少清北的研究员起步……菲尔兹奖估计稳了
hello-miain , 会。不过送你两句话:珍爱生命，远离哥猜。（对于连初等数论都没学过的人来说）放弃哥猜证明，享受轻松生活。（适用于所有为哥猜劳心费力的巨巨）自己对号入座吧。字迹
 , 如果高中生能证明哥德巴赫猜想，还保送清华北大数学系干嘛？那里根本没有研究数论的老师能教你，你去上班还差不多
mo-shang-wu-dong-hu , 可以可以可以，万人血书搞一个诺贝尔数学奖颁给你都行。
chang-de-chou-ni-huan-bao-shou-74 , 前辈好，希望加盟武大数院，明年我想听您讲课
yezi650 , 就喜欢你这么厉s害b的人,大家都会难g过x。
yiyue-cheng-yun , 我有一个绝妙的回答，但是这里地方太小我写不下
tan-lian-hui , 你要能证明我觉得诺贝尔奖都会额外送一个数学奖给你。。。
liu-zi-tong-33-67 , 请问我立定跳远跳10米，三级跳跳20米。三大项加起来5t百米跑进5s马拉松1h跑完这样的身体素质能不能进清华⌈╹드╹⌉oooo等等，我突然发现，其实提问者也知道他不是用的正规方法整出来的因为没那个实力。他真正的问题是取巧证出来哥德巴赫猜想能不能进清北。。。。。他要是正规方法证出来，哪怕自己单独证了一点点..都可以傲视群雄唯我独尊了，还问能不能进清北？他估计真的取巧了然后自以为整出来了，然后反而自己觉得不靠谱，才有此文
black-out-57 , 我想大家都没有真正理解题目情况……注意是证明，而不是首次证明(玩个文字游戏)先上答案:不能。原因很简单，并不是高中生证明不了哥猜。等到几百年后有人证明出来，再过个几百年哥猜的证明变成高中教材的内容，高中生不就能证明了吗？     然并卵……勾股定理三千年前还没人会呢，现在小学生就会证，就问你有什么影响？什么？题主本意想问的就是第一次证明？哦哦，我掐脑一算，觉得还是有可能的。如果几百年后哪天清华没落了，变成现在野鸡大学的等级，而哥猜还没被证明，号称“首次证明哥猜”的大傻高中生有可能进入这种等级的“清华大学”吧……非黑清华，我的小脑袋怎么掐也只想到这种可能。只是感觉我说的这种情况发生的概率，都比常规意义上高中生证明哥猜的概率大的多得多吧……
cui-bing-38-57 , 建议及时就医（狗头
 , 同学你好我只想提醒你一下:网络不会把你的无知当天真相反 它们会把你的天真当无知.
bai-guan-38-51 , 我文科生凑个热闹吧只能说，虽然由于现代学科知识的极度专业化，不同知识专业之间的壁垒越来越厚，但是大家有机会的话，一定要多看看专业人士的科普，看不懂那些专业的东西，咱们看看结论乐呵乐呵也是极好的，总算是拓宽了一下视野，知道人类这几千年来累积起来的知识有多么伟大。
qin-zheng-18-3 , 看了一些支持他的人，有的说不要打击一个少年对数学的热爱。年轻人有理想是个好事。我认为这是对那些真正有理想，踏实工作的青年科研人员的侮辱。一个高三学生不认真备考，整天满脑子想些不切实际的幻想。另外我认为与其让他钻进牛角尖，不如称早浇灭不切实际的幻想去认真复习更为重要。另外麻烦那些支持他的人学习一下高等数学后再来发表看法好吗？其实自己上面的言论有些过激了。高中压力确实大，每个人都有彷徨的时候。其实对于题主这样偏科比较严重的，一味试图通过证明哥德巴赫猜想来获取名校资格，有点走火入魔。与其费劲心思的证明哥德巴赫猜想，还不如把这时间用来补习其他弱势学科。我感觉这条路更有用。哪怕自己高考成绩不理想，你也可以去一个普通的本科院校。大学时你就可以学习高等数学， 可以获取更多数学知识。而且到时候你可以选择考研。到时候研究哥德巴赫猜想不是比现在更加靠谱。我父亲以前对我说过：什么年龄就要做什么年龄应该做的事情。现在你最好的选择就是好好备考。如果你现在证明哥德巴赫猜想只是为了获取一个保送名校的机会。那么对不起，请不要侮辱热爱与梦想。
sao-chang-36 , 我们学校数学系两年前有个人证明了二十多年的西塔潘猜想，直接在大三被提入中科院受到特殊培养，直接被任命为正教授（目前全国最年轻的教授），奖金什么的就不说了，光我们学校就是一百万就别提什么上节目的报酬什么的了。你要能证明一个几百年的问题，说不定直接被多国邀请成为科学院院士也说不定。多说一句，中科院院士什么水准呢？大概一般的985院校也就两三人罢了。外籍院士的话，袁隆平先生作为美国科学院外籍院士，可做参考。
xue-zhen-yu-9 , 想起了一句话“为什么做的事情一定要是别人能明白的而且能够自圆其说？因为人类这种愚蠢的生物对待自己不懂的东西的态度是错愕、愤怒、仇恨，当无计可施、消灭不掉的时候，他们畏惧。”我想我们更应该抱有期待，而不是轻视和嘲笑。1月1日，等题主的好消息集众生再望彼方，唯星辰大海。
er-yu-yiwei-san-33 , 别人奔着本科去，你奔着人家的教授岗位去，还是历史留名的那种。能证尽管证，清北庙太小，容不下你这尊大佛！
liu-si-yuan-24-65 , 依个人所见长话短说。我也是个高中生，我知道的是，也许你的证明在高中水平面上能说的清，但是证明过程中极有可能出现高中层次上觉得对，看不出什么问题。但是不知不觉中已经犯了一些我们意识不到的错误（一般这种错误是我们不能很好的举出反例，将看似是显然的事情当成理所当然），所以事实上你的证明可能在严谨性上并不完善，可能学的多的人举个特殊的反例就推翻了证明过程。
123456-76-11-2 , 高斯不也19岁搞出了正十七边形是吧 
wu-hao-13-95-74 , 你觉得你证出来了，把你的证明过程贴出来，如果没证出来，建议先把课后习题会做的做了。
xue-zhen-yu-9 , 想起了一句话“为什么做的事情一定要是别人能明白的而且能够自圆其说？因为人类这种愚蠢的生物对待自己不懂的东西的态度是错愕、愤怒、仇恨，当无计可施、消灭不掉的时候，他们畏惧。”我想我们更应该抱有期待，而不是轻视和嘲笑。1月1日，等题主的好消息集众生再望彼方，唯星辰大海。
ceng-ling-hao-18 , 不论如何，“证明”同学已经是一名知乎小V了，算是提前实现了我大学的小目标 留名留名，到时候我也是历史的见证者了 弱弱的问一句，我可以骗赞骗关注吗  
 , 此事还是请你自己定夺，你说你能证明你就能证明，你说你能去清华北大你就能去清华北大。
feng-yuan-57-21 , 您好我是一个算是蛮垃圾的本科生吧，我没资格评论什么哥猜证明的balabala，但看见知乎上有部分人发表的言论有些偏激，我不禁想表达一下我的见解1.如果你真的成功证明了哥猜而且没有任何问题了话，那么你肯定是很有天赋并且很努力的人，你的未来一片光明，请保持下去。2.如果你花了很长时间付出了很大努力证明出来了哥猜但是你的猜想被人指出问题了话，我也同样相信你是一位十分有才华的人，我在高中认识个和你一样爱钻研学术攻克难题的人，他现在也十分优秀，所以请保持这样的势头，加油!3.如果你证明出来了哥猜却存在很严重的问题而自己没有发现了话，希望你能在今后的学习生涯中严谨行事，这不是敢于发表言论而是莽撞，这样无异于是"民科"证法，一定确保自己在搞清所有概念论述的情况下去谈证明，科学要讲严谨。4.如果你没证出来只是耍我们了话，那么一点都不好笑= =
 , 谢邀，人在美国刚下飞机。可以的。其实我在不久前，花了三周时间证明了霍奇猜想，被麻省理工破格录入成为正教授了。估计不久这个消息要传遍学术界了下一步目标是三个月内攻克黎曼猜想。利益相关：普通的中国高中生匿了
er-xiao-55-73 , 数学特别好想被保送还不简单？考进国家队去拿金牌不就ok了
ren-jia-ye-yao-chuan-xiao-qun-zi-ma , 额空间过来看看的，看不懂 但是看到有些人回答的有些让人不舒服。但是希望你能加油！
zhang-xian-qu-17 , 讲真，你要是能看懂那些被严格证明的猜想，都有资格做教授了。
lu-jun-jiang-87 , 经常有高中生过来问我，高中生证明哥德巴赫猜想到底能不能保送清华北大啊？我看有些教材，哥德巴赫竟然和黎曼谈起了恋爱，黎曼叫哥德巴赫叫赫赫，哥德巴赫叫黎曼叫曼曼，素数不分，筛分颠倒。这样的教材主创人员是要向全国人民谢罪的！戏说不是胡说，哥猜不是瞎猜。有时候初等数论比筛分法好用，我用裂项相减从1+c推导到1+2，我太了解它了！我们说一个高中生没有自己的理想是可悲的，有了理想还不去奋斗就是可耻的。年轻的网友还在笑，我是笑不出来。有的网友一看到哥猜，第一反应“哇，太难了！”这怎么行呢？要证明哥猜，尤其需要乐观向上。你说你数学比我好，有本事上台比划比划。我是身经百战见得多了，我研究了十七年的高中数学，每年进步不到6分，十七年下来除了数学一本线都考不到。我说高中数学题目你一题都没有做过的请举手，结果没有一个人举手，什么叫做国际imo大佬啊（后仰）？明年1月1日0点，我证明的哥德巴赫猜想论文就要在知乎上发布，我继续担任偏科的天才学生，弘扬中国高中生刻苦钻研的传统文化，继续塑造最新的新时代高中生形象，文理两开花，希望大家多多关注！
yang-guang-yi-jiu-ci-yan-59 , 要真是证明了，能上新闻联播不？这可是数学界的大事
li-hong-64-89 , 上策，给正规的数学类学术期刊投稿，让他们来判断正误。这样最大的可能就是看出一堆错误拒收并且不做任何回应。不要有民科思维，觉得这样就是正统数学界打压你。如果万一真的你是对的，被采用又被全球数学家验证是正确的，那你还想北清吗？哈佛斯坦福不都可以随便进了，想横着走都没关系。中策，丢掉一举成名的幻想，先在知乎、微信各种自媒体平台自行发表，以作为自己首发证据，然后，该干啥干啥，考不上北清也没关系，反正就是慢慢增长实力，到时候，你就真明白你的证明是对还是错了。如果是对的，再拿出原始文章去震撼天下。还有，一定要多发几个地方，万一有的倒闭也没关系。下策，走民科道路，炒作。
 , 你好，你可以申请全球top大学博士学位并任教＞某top2本科录取通知书
cang-yue-xiao-xin , 题主，他们都太不友善了，我来正经回答你的问题吧。如果是真的话，你只拿一个清华的本科文凭太亏了，千万别被糊弄了。就算清华数学系主任的职务也未必配得上你呀。全世界那一所大学的终身教职你都可以信手拈来。菲尔兹奖也肯定是你的，到时候上去做汇报，几百个教授一致通过，岂不美哉？
macckk , 咋？不保送你就不发证明了？搞科学的这么在乎名利？真是错怪你们了 
sun-yi-chen-53-74 , 可以被UC震惊部保送。
 , 我回答的时候看到的题目是“如果高中生能证明哥德巴赫猜想，会被清华北大数学系保送吗？”，没有看到更详细的描述。下面充斥清一色的冷嘲热讽，好不欢乐。我要支持一下高中生的勇气，以防止他因为心灰意冷而丧失了对数学生涯的追求。现实中做数学研究你得适应失败。谁还没有个痴心妄想的时候呢，治疗虚妄的良药是阅读，交流，向领域内大师学习。即便在别人看来你提的问题很傻，是错误荒谬的，不要停止提问。之所以能提出这样的问题，我觉得很大程度上是因为国内数学科普做得还不够好，以至于连一个热爱数学的高中生都没有意识到哥德巴赫猜想这个问题的难度。在数学中，这种问题属于容易读懂，但证明起来特别复杂。类似于哥德巴赫猜想的问题还有费马大定理[1]等。最好的结果——被清华北大数学系保送，此结果为你从事数学研究继而成为数学家铺平了道路，那数学家群体是怎么看待这个问题的呢？This problem has the great virtue of being easy tounderstand, which makes it appealing in the way thatfermat’s last theorem [V.12] and goldbach’s conjecture[V.30] are appealing. And yet, it is not a centralproblem in the way that those two are: most mathematicianswould put it into a mental box marked“recreational” and forget about it.[2][1]这个问题从提出到解决花了358年的时间，有中译本的科普读物。[2]The Princeton Companion to Mathematics 第71页。[3]陶哲轩关于大问题的人生经验。
ou-yang-wan-lin-55 , 目测这是清北被黑的最惨的一次
jormungandr-16 , 显然保送清北容易得多
geng-da-de-23 , 这个问题就类似皇帝有个金锄头，希望题主不要成为民科好好上学。
wang-long-xuan-94 , 期待博主一月一日的证明！
lu-jun-jiang-87 , 经常有高中生过来问我，高中生证明哥德巴赫猜想到底能不能保送清华北大啊？我看有些教材，哥德巴赫竟然和黎曼谈起了恋爱，黎曼叫哥德巴赫叫赫赫，哥德巴赫叫黎曼叫曼曼，素数不分，筛分颠倒。这样的教材主创人员是要向全国人民谢罪的！戏说不是胡说，哥猜不是瞎猜。有时候初等数论比筛分法好用，我用裂项相减从1+c推导到1+2，我太了解它了！我们说一个高中生没有自己的理想是可悲的，有了理想还不去奋斗就是可耻的。年轻的网友还在笑，我是笑不出来。有的网友一看到哥猜，第一反应“哇，太难了！”这怎么行呢？要证明哥猜，尤其需要乐观向上。你说你数学比我好，有本事上台比划比划。我是身经百战见得多了，我研究了十七年的高中数学，每年进步不到6分，十七年下来除了数学一本线都考不到。我说高中数学题目你一题都没有做过的请举手，结果没有一个人举手，什么叫做国际imo大佬啊（后仰）？明年1月1日0点，我证明的哥德巴赫猜想论文就要在知乎上发布，我继续担任偏科的天才学生，弘扬中国高中生刻苦钻研的传统文化，继续塑造最新的新时代高中生形象，文理两开花，希望大家多多关注！
ou-yang-chen-cheng-70 , 赶紧占个楼..
shi-an-ci-de , 我要怎么样才能关注到提问题的人……我也想蹲看看……
xue-zhen-yu-9 , 想起了一句话“为什么做的事情一定要是别人能明白的而且能够自圆其说？因为人类这种愚蠢的生物对待自己不懂的东西的态度是错愕、愤怒、仇恨，当无计可施、消灭不掉的时候，他们畏惧。”我想我们更应该抱有期待，而不是轻视和嘲笑。1月1日，等题主的好消息集众生再望彼方，唯星辰大海。
chi-bao-liao-cheng-de-40-90 , 如果高中生真的证明了，这么办？虽然不懂，但是我支持一下。
yi-ming-46-88 , 作为一个高中生 我并不觉得你可以搞得出这玩意儿....我们初中数学老师是暨大毕业的研究生，数学系。他曾经跟我们提过这个猜想，然后他告诉我们，只有真正出身数学系的才知道这玩意儿有多难，需要的理论基础不是一个高中生可以掌握的。当然，如果您真的证明出来了并且得到学术界承认，当我没说，我真心钦佩。如果没有，希望题主放下这些不切实际的东西，认真学习高中的各科知识，希望可以在好的学府和你成为校友。图是我问了老师的
mi-li-reveal , 密切关注要么是对哥猜不完全理解的家伙要么是奇才看着都很开心如果是不完全理解希望所有知友指明他的问题并给予他信任（若某回答是真实的，更希望各位知友劝导该后辈不要偏科，数学很美好，化学物理生物也很多彩美丽）如果是奇才希望所有知友不要给他太过多的赞誉不要让他迷失方向最后希望这位知友能够有一个好的大学去读，希望你有一个光明的未来。
