sen-lin-mi-lu-62-47 , 如果成功，我给大家表演，两女一杯
composer-75 , 同学如果你是真的那种百年一遇的天才，高中就证明出来了，那就肯定不止清华要你了，全世界的研究所和顶尖大学都会争着要你。如果你不是上面那种情况，别想了，好好学吧，哥德巴赫猜想还有黎曼猜想这样的没有经过高等数学的熏陶是绝对没戏的，绝对是天方夜谭。它们都是问题描述很简洁，但要证明出来不知道要费多少力气，全世界优秀的数学家都没能解决的问题，怎么可能你在高中那几年就证明出来，真的是不切实际。好好学习，不好高骛远，此乃正道。
wang-yuan-qing-31-43 , 我在复习概率论。。。就给我看到这个问题。。
jamiever , 很想明年来被他打脸恭喜我乎成为国际有影响力的自然学术期刊！（破音强势围观 
lu-fu-ren-25-23 , 到点了。
 , 题主是个人才，这才几天就1w多粉丝了，很厉害。（有点期待1月2号还剩多少
suo-hao-hai , 首先，我认为那些嘲讽并不会让题主受到打击，更不会让他认识到自己的错误。恰恰相反，如果他真的相信自己证明了哥德巴赫猜想，那些嘲讽只能让他更加自以为是，飘忽欲仙。真正的打击在于1月1日被指出错误的那一刻。飞得越高，摔得越惨。如果题主是认真的，希望题主提早认识到这一点，让“期待”平稳降落。祝好。
sxy-77-82 , 见证历史！来了
song-cheng-gou-44 , 现在是2019年了，我在等他公布。。。。
li-yihui-7 , 我觉得你们都错怪他了，可不可以一上来就不要抵制人家，而是去寻思背后的合理性。经观察提问者的知乎“历程”，我觉得，走常规路对于他来说已经是不可能了，因为就用2个月时间把哥德巴赫猜想给弄出来，肯定不是他能做出来了。那，他不是“他”不就好了，提问者想必是未来自己研制出的time machine ，为了一雪高考之耻，专门回到2018来，给诸位送上19年的开篇大礼。我觉得，也只有这么解释合理了。另外，我将在一月三日公布股市百分百预测函数模型，望大家多多关注！（狗头）
bao-zha-pin , 如果我能单挑过哥斯拉，那我还会被村口书记儿子欺负吗？
hu-yu-10-2 , 为什么！！！！这年头连什么是命题都搞不清楚的人可以自信的说出他证明了哥德巴赫猜想！！谁给他的自信！！
wang-xiao-hu-6-50 , 个人认为，当前科学界高楼，要往上修，需要的知识量会成倍成倍增加，
 , 知乎平台真的不管这事了么？哥德巴赫猜想的证明这样有重大历史意义的东西要最先发布在知乎上啦！！怕是第二天国务院就会发来贺电了，知乎的团队赶快做好领奖和接受采访的准备。 @知乎小管家 
butterfly-94-15 , 这么多批评声，我倒觉得挺期待的，先支持下，感觉很刺激。
 , 高中的时候我们隔壁班有个搞数学竞赛的，一直全省前几名的水平吧，高中刚一入学就说自己证明了哥德巴赫猜想。然后来我们学校有个竞赛大神做数学竞赛培训，隔壁班的大神和大神教练说了自己的证明，说了30min，大神教练说你这不对，就指出了问题。我倾向于认为你是伪证，这个东西我觉得初等数论应该不太能解。黎曼猜想你能看懂是什么意思吗？高级数学工具你会吗？年轻人证证是好事，但是别太狂了，别变成民科就好。
052dxing-dao-dan-qu-zhu , 真的证明出来的话，可以去给清华北大的师生开讲座了，阁下讲，他们听。我不知道阁下是不是真的证明了哥猜，但我知道阁下证明了可以用一个提问在短时间内获得1.7万（截至目前）知乎粉丝，并且粉丝里有一堆数学大佬。
starry-child , 最后一更，看了一下这大哥的证明，过于沙雕，新年快乐源泉……再说一遍，记得取关，记得取关，记得取关!开始辣!新的一年从看哥德巴赫猜想开始!各位2019快乐球球你们取关了，35k的关注看的我心痛短短一天的造势，提问者就收获快千条回答和12k的关注，混这么久知乎心态崩了。高中生，哥德巴赫猜想，清华北大，提问的方式太抓痛点了，多少人也幻想过自己独立解决千古难题，功成名就，一步登天，我写下第一个知乎回答还老想着能收获很多赞，一跃成为大v，走向人生巅峰。然后回想起自己灰尘满布的现实，梦想甩开能力太远，无力，痛哭，呐喊，之后我们成长，选择，有人依然难以服输，也有人拥抱无奈，也有人正在经历这个过程，所以能看到有不断的鼓励，也有严厉的警告和批评。和提问者年龄相差不大的少年们肯定大多还是相信梦想的光辉，也愿意更多的宽容，因为这也是对自己的一种宽容。历经现实的各位深知现实的尖锐，所以话语可能也会咄咄逼人。虽然我们想多一些宽容，但是很可惜，哥德巴赫猜想不会因为你是高中生变得宽容，这块铁壁上镌刻了多少人的岁月。是，每个人都值得宽容为什么不对那些人多一些宽容，多一些尊重。牺牲自己毕生去研究，深埋历史的尘土，化作养料，等待一个集大成者去摘取果实。这就是很多无名的科学研究者。没有化作养料的觉悟，一心想着摘取果实，对这种想法还施以无限的宽容，对这些奉献者们是不是太过残酷？想传承科学的火焰，请记住你不是手持火把，你也是柴薪。对于一个人，一个高中生，给予宽容，让他继续保持对数学的热情，去认识研究的正确的方式方法。但对于他的行为，错的就是要批评，不切实际的幻想要打碎。不要站在已经点燃的篝火旁边玩弄火焰还对不断向前的探索者诘问。当然，现在说的有点绝对，等元旦见分晓。但还是持悲观态度。当然，我还是想成为大v( ᵒ̴̶̷̥́ωᵒ̴̶̷̣̥̀ )看了知乎2018年度总结，自己的回答被浏览了上万次，虽然收获的赞/浏览数过于悲伤，但我也深知自己的回答并不是多么优秀，不过我还是衷心希望自己的回答能有所帮助，如果你喜欢，请给个赞吧。
 , 在？为啥删帖
john-paul , 知乎彻底转型为百度知道，贴吧，尽是脑残问题
huang-shu-lang-xing-huang , 玩够了，该取关了
wang-tian-yi-13-10 , 你们能不能别再写回答了，这大过年的我都在这看了一个小时这睿智问题了。
huang-guo-zhi-hua , 请
 , 认真你就输了。
chen-mi-wei-lai-de-lao-tao-qiang-74 , 会不会被清华北大录取我不知道 我只知道他的闹钟过会就要响了 马上又要去学校补作业了
 , 就冲逆否命题那里的逻辑来看，您老还是先好好锻炼下逻辑思维能力吧……
sxy-77-82 , 见证历史！来了
 , 说实话，如果一个人到高中了还自认为能够证明哥德巴赫猜想（说明他至少没有最基本的初等数论的概念），那么他上一本几乎是不可能了。至少，高考数学题里面涉及整除的部分他一定会做错；而这部分几乎是除了送分题以外全卷最简单的题。以上论断不保证一定成立，但是几乎必然成立。更新：要不要这位同志出来PK一下？ @毛海昕 
hong-bo-yang-5 , 重新定义数学
 , 让我想起来郭德纲相声里的一句话：这种相声演员出不了国。话说你问这个问题本身就已经把答案回答了，只是受限于眼界没发现。
feng-lai-fan-yi-guo-qian-li-wai , 从今天到1.1  我姑且认为你是在整理你写的东西.但这不应该发表在知乎上.历史上（一般n大于等于5次）方程的解这个问题也很著名，被欧拉和拉格朗日等一系列大牛研究过（但没结果），当时也有民科鲁菲尼，但他的论文在他活着的时候没得到重视.~~~~~~直到天才伽罗瓦建立群论证明方程无解结束。我想大牛们不会在知乎上问做什么能去什么好大学，他们本来就能去。在1.1发出来前，我认为问这个问题已经比‘我三模300，请问能上清北吗’更无语.
 , 题主是复读机吗，要不要在每个回答下面都：“1月1日知乎公开发表论文，欢迎观看。”文体两开花似的。
 , 文科狗来了理解不了有些圣母的双标只看到了众答主diss题主，看不到题主那恨不得把整个数学界按在地上摩擦的发言是不是？我想问一问楼上好多人，本质上还是以规劝为主啊，即使这个事很有可能是一场炒作，但是好多数学系的答主根本没有放过“也许题主只是高中生”这一个可能性，出于前辈的关怀，才说出了那些规劝的话。我们听了那么多心灵鸡汤，什么为梦想坚持一定能等到春暖花开什么的。那么，有句话你们也应该知道，方向不对，越努力越错，为什么你们就能从这样一个漏洞百出的事件中，感悟出一大堆感动自己的心灵鸡汤，然后以这样粗糙的人生道理为武器把真正的圈内人抨击的一无是处？合着高手在民间专家皆沙雕这是天朝特色是不是？有些人你们真的不相信专业的人的水平？数学大佬和题主谈专业水平你要怼人家“难为孩子”，大佬和题主谈“高中生证明这个不太现实”你要说科学和年龄无关？道德的高地气温多少度啊，我给您邮寄一件羽绒服？把您这样的品德高尚之辈冻死是我们的损失吧？怎样的逻辑鬼才才能想到这样清新脱俗的双标？然后我就对题主说几句叭。本人不才，文科狗一个。对哥德巴赫猜想的了解是从那篇陈景润的报告文学开始的巧了，陈景润中学的时候，也和小伙伴们约着一起证明哥德巴赫猜想，还“证出来了”，结果打脸来的比龙卷风还快。什么年纪轻轻就证明出了哥德巴赫猜想这种梦陈景润当年也做过结果呢？从现实来说我们那一届的高考理科年级第一他不会证哥德巴赫猜想，他看都看不懂楼上那些数学系大佬们列举的例子和公式，更别提论文了。面对陈景润的论文只有跪着的份但他依旧凭借高考成绩被清华大学数学系录取了题主大概是把清华北大看的太过于神圣，所以他不相信好好学习高考顺利的话，清北是能考上的。别想不开去证明哥德巴赫猜想了，要是有那么好的事，你觉得还轮得到你这个想把论文发知乎的睿智青年吗。知道幸存者偏差吗，为什么总有人想着模仿某些纵奇才灵感爆发做出举世震惊的成绩，因为那些失败的例子已经在信息传播的过程中被自动过滤了，你眼中只看见了零零散散的成功，你看不见大片大片的失败。我看楼上有人举爱因斯坦的例子，文科生举读过的名人传记的常识说一下，那些爱因斯坦小时候蠢笨呆滞做了一个两个三个四个小板凳的例子全都是假的，人家发表相对论前已经在国际著名期刊上发表过很多论文，是业界公认的大科学家。天纵奇才，从小就天赋惊人，通过超高强度和进度超前的学习模式掌握了庞大的知识内容然后才开始研究。如果题主真的有本事证明出哥德巴赫猜想，那么题主肯定知道国际上的数学权威期刊是哪些，也肯定知道哥德巴赫猜想在数学界的地位，也应该知道数学界权威的奖项有什么。你证明了哥德巴赫猜想，别说当清北的学生了，世界名校随便选一家当教授就差不多了。能证明哥德巴赫猜想的人，所图竟然只是清北数学系保送，这让我流下了感动的泪水。就好像一个能造出二向箔的人，目标仅仅是开一家鞭炮厂。
ling-ri-shi-de-qin-xi , 希望做好决定，因为你的未来有可能因为这个猜想辉煌，也可能被其束缚。
 , 多个世界一流学校愿意给你发博士学位多个世界一流学校愿意聘你当终身教授菲尔兹奖提前钦定……而你却想保送清华北大？有点追求行不行啊？！
 , 知乎平台真的不管这事了么？哥德巴赫猜想的证明这样有重大历史意义的东西要最先发布在知乎上啦！！怕是第二天国务院就会发来贺电了，知乎的团队赶快做好领奖和接受采访的准备。 @知乎小管家 
pi-qia-qiu-73-49 , 会不会被录取不知道，不过您将获得由我国某知名艺人创办的诺贝尔数学奖。
 , 我不希望这又是一场某团队自编自导的网络营销。如果真是这样，那简直令人作呕。————————————————————————我宁愿相信某大学理学院退休老大爷证明了他①大学老大爷有一定数学学习、教学基础②老大爷能够接触到最前沿研究进展③老大爷有一个相对严谨的圈子，能给他提供帮助或者佐证④老大爷有足够的时间如果1月1号出现照搬其他学者研究、自认营销等恶性行为，我不介意2019年第一天就问候一下这个团队。
li-fan-52-51 , 小时候经常被上北大还是上清华困扰，长大了才发现，自己小时候想的真taniang的多;对于这个提问，我们不妨先定个小目标，先把清华北大考上.......
yangyu-13-16 , 如果能证明的话就说明了一个事实时间机器已经在未来被发明我说什么来着！真的有可能耶！2019.1.1，时间机器被证实，人类历史彻底改变
along-along , 2012年，中南大学有个本科生解决了西塔潘猜想，然后直接被聘为副教授了。在此之前，西塔潘猜想外行人基本没听说过吧。要是有人能解决哥德巴赫猜想，那会是什么待遇。
deng-deng-23-68 , 有一千亿的多得是，能证明这个的一个都没有。证明赚一千亿比这个容易多了。你先挣个一千亿看看。然后，然后你有钱了，想怎么着就怎么做，范冰冰不是有个精神文明造就奖。
lxlxw , 看了一圈答案，被喷得很惨，感觉题主挺可怜的。建议改成：如果高中生能证明哥德巴赫猜想，那么他能上天吗？
 , 开玩笑，你以为你证明哥德巴赫猜想以后就能去清华当学生？太天真了，你会去清华当教授
xiao-li-du-80 , 卧槽？一个钓鱼的初中生题主底下居然有这么多人？？还有几个答的特别认真，真令人害怕。
tang-hu-lu-bu-fang-bing , 请问如果我带领cba队友获得奥运冠军，我能进入nba吗？
 , 全世界所有的大学会争相聘请你为正教授。。。突然想到一年前民科说证明其实没有电磁学了，其实我无比希望是真的，因为那个时候正值期末，被电磁学折磨的非常痛苦，想着要是没电磁学就好了，但是一看就是瞎扯。。。现在已经被量子力学折磨的求死不得，希望没量子力学，所以我当年为什么要选物理啊啊啊啊啊啊。。。
ty-chen-80 , 题主请先把哥猜完整的叙述一遍，我见过无数的人，把哥猜的“1+1”理解为真正的1+1（我这么说明白吧？），先让大家看看你是不是真的知道你自己到底在说啥。
diozhu-brandoz , 假如普通人百米跑进8秒59秒能进国家队吗？
zhang-xiao-jian-78 , 算了。。我预言下吧。如果他是基于目前的代数体系下，不可能证明。但是如果他是把质数当做基本元开辟了一个新的领域，有可能可以证明
chen-tian-yi-56-62 , 我得和牛顿、阿基米德和高斯开个会看他们愿不愿你收你当学生..
wang-da-fu-85-76 , 这就相当于梅西科比说去你们校队打比赛你看成不。
ye-lang-56-80 , 这么说吧，鼓励你是很蠢的行为。因为一个高中生满脑子都是不切实际的想法这在我看来蠢得一塌糊涂。你可以天马行空，但绝不是不长脑子。
jiang-peng-77-43 , 如果能证明哥猜，能拿诺奖。虽然诺奖没有数学奖，但是能给你设一个。清北的本科和哥猜的差距大约有一万光年。
wei-aiyong-heng , 如果没证出来估计会人海里消失，如果真证明出来了，虽然不大可能。。。。我有理由相信你@证明 是从未来穿越过来的
lei-zi-65-88-83 , 同学你好，我不懂什么高深的理论知识，我只是想引用李信固老师的一段话有一些人觉得自己做数学题很快乐，这种酷爱数学的人如果有中等以上的智商那成为数学家就不太成问题了………当然成为数学家还是要有智商。你看有的人特别酷爱数学，但是那智商一看就……呃……中等以下，那肯定当不了数学家~数学做得好的人不一定非得是绝顶聪明的人。酷爱数学的人一天用八个小时、十个小时思考数学问题，你一天就用十分钟思考，那你十分钟能绝顶聪明到哪儿去啊？现实终究是现实，如果1.1号你真的证明出来了，我们，所有中国人，与共荣焉
zi-bu-yu-32-1 , 还真有人信啊
wo-xin-gao-fei-a , 期待在2019能目睹一个在2018年埋下伏笔的事，不管是真是假，不要被喷子影响你的未来。
primarycolors , 其实我已经解开这个问题了，就是书页一角太小了，我写不下来。或许题主以后会在理工科有所建树，但是你现在应该先看看陈景润的证明。现有的数学工具很难解决这个问题，而你所处的环境也不可能和半个数学界有同等规模的学术碰撞。
ceng-ceng-94 , 题主大概还不知道什么是哥德巴赫猜想。
xiao-ma-kuai-pao-55-37 , 兄弟你是穿越还是重生了？
lu-bo-46-79 , 十三流的无限制开金手指的网文都不敢这么写。
youki-60-42 , 其实吧  证明巴赫哥德猜想这种上进和努力是值得我们认可的 有人去尝试才会有结果 如果真的有了正确答案  我们肯定是举国同庆证明哥猜的是一名中国高中生但是拿证明哥猜与大学保送资格做衡量是不是有点太目光短浅了
san-xian-guo-zi , 这就好像在问：原子弹爆炸后，爆炸中心的蚂蚁会挂么？
lin-zhi-yu-66-1 , 期待这位大佬一月一的解答
li-pei-ran-38 , 都会证哥猜了，还tm要去读书？ 这判断力我也是服了我觉得知乎的所谓精英们真的是搞笑，看似物我两忘人书俱老，最后被这样一个问题，人家用直勾就给钓起来了。提问者关注自己过两万了，我觉得很多人要自我反省
qiong-yu-ji-zhou , 放心好了 ，国足拿下大力神杯央视都肯定以及绝对会报道的，但必须在题主攻克完哥德巴赫之后，题主能攻克哥德巴赫也必须等到国足拿下大力神杯才行，所以你们都要好好努力呢，不说了，我马上就要去继承宇宙之王的位置了。
guang-hui-xing , 认真复习高考，别整天做梦。
su-feng-yin-78 , 现代数学已经很早之前就关闭了低龄和低教育水平的人发展它的大门保留兴趣，不断学习是很好的选择吧(想当年我也这么轻狂过，但是不是数学，是经济学，之后一入经济深似海)没有接受过系统教育的人要做出科研成果难如登天。加油吧，快高考了，考上一个好的大学会使你在证明此猜想的道路上更近一步，这才是实质性的一步啊祝好
sun-ao-74 , 高中生的生活比较简单，有且仅有一个最终的目标就是上好的大学。所以提问者才没有意识到，自己拿来比较的两件事物差别有多大：或许在他看来，拿“证明歌德巴赫猜想”和自己眼光所见能看到的最高的荣誉“保送清华北大”相比较，并不是什么过分的事情。我可以想象提问者现在的心情，应该是非常不服气，非常气愤。他不知道为什么大家都在这样反对自己。作为比提问者虚长几岁，同时又在数学领域工作，同时又达到了题主所说的“保送清华北大数学系”的人，我想和提问者说几句，希望对你有帮助。我个人认为做学术研究很忌讳的一个心态是投机心态。本身做学术研究的动机和出发点就应该是对世界的好奇心和对研究的兴趣。Perelman解决了大猜想后也不追求更高的工作职位，张益唐沦落到送外卖也要继续研究数学，就算这种精神境界一般人达不到，那高校里还有那么多转行就能拿到成倍的薪水的年轻的研究者。提问者可以想一想：他们的追求是什么，是什么让他们愿意过那种世俗的眼光下不算特别好的生活也要做学术研究？我现在请问题主：假设你解决了歌德巴赫猜想，既不能让你保送清华北大，又不能给你带来荣华富贵，甚至也不会上新闻报道——你还愿意去研究歌德巴赫猜想这个问题吗？这其实是世界上绝大多数数学工作者面对的问题。我工作领域的最艰深的问题，解决了估计带给我的物质收益都比不上去哪个银行或者基金工作一年。去年我们数学系基础数学方面最重要的工作连学校的校报都没有报导。做数学也有做到在社会意义上很成功的人。一些大数学家的经费都是花不完的。但对于绝大多数的数学家，倘若要追求社会世俗意义上的成功，恐怕早就都去银行、基金或者是硅谷了。想通过做数学大富大贵，这不但是投机心态，而且是很糟糕的投机心态——因为你投机的方向根本就错了。明明有通往你的目标更近的路。同样的道理，你想通过证明一个数学大猜想来保送清华北大，这种投机就是很糟糕的投机，因为明明好好学习或者好好搞竞赛是离你的目标更近的路。投机的另一个坏处，是你最终的关注点在你投机的目标上。如果你做一个数学问题的时候，想的都是做出来这个问题能得到什么样的荣华富贵，那你凭什么比那些追求真理、追求美的数学工作者做出更好的结果呢？往好的可能性说，你最终可能沦为那种在杂志上灌水的研究者，因为那样对于你追求利益又简单又划算；往坏的可能性说，你最终可能走上学术不端的道路，或者沦为一个大家口中的没有学术规范的“民科”。如果你的关注点在你的研究问题本身，你是不会去想着投机的，你的研究本身就是给你最大的精神回报。这个问题下的回答很多很严厉，但也是出于爱才之心。热爱数学的人不多，大家不希望你走上歧路。 
 , 去清华教书都可以了
lin-zhi-yu-66-1 , 期待这位大佬一月一的解答
guojunwei1949 , 肯定不会！会报送耶鲁哈佛当教授。
jian-jia-hai , 很好的涨粉方法。整个知乎学数学的都记住你的头像了。更新于2019.1.01 1:11am题主已给证明，故回答删改。既要仰望星空，亦要脚踏实地。2019，你好更新于2019.1.01 3:25am题主原回复乎友证明存档链接https://zhuanlan.zhihu.com/p/53752944
ren-rong-zi-78 , 不存在的，你进了清华北大，谁教你高数？
add-48-78 , 这个回答不正常。知乎给推荐，我几天前看才几十个回答，现在这么多，这怕是知乎搞的恶作剧吧。。
mo-xiang-jing-32-96 , 到时候，清北的老师都要来请教你，你还保送去干嘛？
huang-shi-ji-81 , 不说保送了直接聘为教授，不干活吃白饭那种都行啊，而且还是两个学校争着抢着。
 , 哈哈哈哈哈哈哈问招生办啊亲
li-chang-feng-68-1 , 只怕希望越大失望越大，很难想象一个高中生在一堆比他还高的书本草稿里奋笔疾书的样子，还是密密麻麻的数学公式。
li-chang-feng-68-1 , 只怕希望越大失望越大，很难想象一个高中生在一堆比他还高的书本草稿里奋笔疾书的样子，还是密密麻麻的数学公式。
mu-ma-13 , 你可以去北大清华当教授。
liu-si-32-45 , 高中生证明哥猜的难度大抵等于：小学生写出红楼梦；消化科实习医生治愈了肝癌晚期患者；在法国投降前占领巴黎。不是不可能，但是……em………
ghmbd , 题主加油，等你1.1证出来后，我相信你一定可以获得诺贝尔数学奖！
kao-la-7-26 , 不管怎样，那天请大家善良一次吧。要让他认清现实的话，语气委婉一点比较好。毕竟很多中学生连学校里的言语都受不了，更别说网络暴力了
lu-zhu-19-52 , 我想应该是不会的，因为你连清华北大都考不上，你拿什么来证明哥德巴赫猜想。清华北大仅仅数学系，每届至少得有二百个以上的学生吧，可以说这些学生都是全中国智商最高的那群人了。他们都证明不了，一个高中生恐怕没有这个本事。
liu-zhong-yuan-57-77 , 假设真有这么个天才，大概是去当教授而不是做学生的
lu-bo-46-79 , 十三流的无限制开金手指的网文都不敢这么写。
xiao-ming-ming-22-87 , 我要是当上阿里巴巴董事长，是不是自己买东西可以全淘宝包邮了？奶茶嫁给东哥，一定是为了可以免费拿plus会员。
chen-chang-ming-33 , 克莱登大学现在就要你，准备给你一个数学博士的学位，烦请先预付20美元。
rede-99 , 还有不到四小时天才出世，插个眼。
li-cheng-cheng-25-48 , 问这问题的十有八九都不知道什么是哥德巴赫猜想，别问我为什么这么肯定，因为我也不知道什么是哥德巴赫猜想
xiao-xie-piao-fei , 你可能证明不出哥德巴赫猜想，但是你可以提出一个 "**猜想" 让别人证明。这样，你就可以成为和哥德巴赫一样牛逼哄哄的人！你想啊，这时候你哈佛剑桥都随便挑了，还上什么清华北大，还要啥自行车啊！   
liu-xiao-peng-82-19 , 看了很多回答。答主常在回复“一月一日公布...”如果是真的研究这个问题的话不如多看看paper 检验一下自己的paper 而不是浪费时间在知乎上
 , 不光会被清北保送 而且还会拿菲尔兹奖 可能开辟了新的数学方向 改写数学史 连带着数学的n个分支的发展 还有终身教授 金钱荣誉地位 走向人生巅峰 成为历史人物！
chen-tian-yi-56-62 , 我得和牛顿、阿基米德和高斯开个会看他们愿不愿你收你当学生..
pang-pang-xiao , 都证明了哥德巴赫猜想了，还在乎啥清华北大……
wo-zui-shuai-77-10 , 只能说还是个小屁孩。
sheng-ze-yu-22 , 请问如果我是博尔特 我能进学校田径队吗?
guo-shi-wu-shuang-80-78 , 如果你能证明出来，那你就完成了陈景润等先人的遗志。希望不要雷声大雨点小。
 , 高中生不能证明哥德巴赫猜想，前提假，所以命题恒真
huang-qi-85-68 , 可以，但没必要。况且题主并没有说哪年的一月一日呀。
chen-chen-yang-52 , 前排吃瓜，这个问题真的很可爱了
yuan-yi-cheng-4 , 高中生证明哥德巴赫猜想还上什么清北啊……干脆上中科院得了，而且是中科院求着你挂名，坐等1.1
du-gu-you-ren , 姑且认为是十几岁的人了，，难道还没意识到自己只是个凡人么，，顺带吐槽下知乎编辑
 , 这位同学勇气可嘉，说到哥，很荣幸在西游记扮演过猴哥，今年下半年，正式开机，继续文体多多关注。
sun-yi-chen-53-74 , 可以被UC震惊部保送。
20171505243qiu-yu , 为了避免明早题主的证明文章可能被删，鄙人已截图，先放一张在这儿，如果明早出现了以上情况，我会放出别的图。（没什么别的意思，只是希望让他长个记性。）
sheng-li-zuo-yong , 如果1.1题主证明出来了，请联系我，每人发10块钱红包
yue-xi-yu-yuan , 现在问题不是高中生能不能证明哥德巴赫猜想而是这人有没有上过高中
gu-du-huan-zhe-84-5 , 如果可以的话，应该没有任何问题，而且也就不要把眼界只局限于清北了…（不过还是很好奇为什么非要元旦发…早发早出结果不也一样么…）总之不管怎么样，有对一门学科的热情总是好的（不像我觉得除了物理啥都差不多，物理也没多么好…）
 , 会会会，还会拿诺贝尔数学奖，题主加油！
gao-san-gou-67-76 , 我先在这里mark一下:按照我的能力，我是没资格来谈论哥德巴赫猜想的证明的。我想说几句别的:如果题主身为一个高中生拥有证明哥德巴赫猜想的能力的话，我想你不必现在还在纠结会不会被清北的数院保送的问题。你现在应该已经可以拿到IMO金牌了吧？对了最后补充一句，T大的数院不如P大的。如果是真的，去MIT都是屈才。所以我推荐你去中科大，和贱贱老师 @贱贱 称兄道弟。我也推荐你去山东某世界一流大学（副部级）的泰山学堂，世一大（副部级）的数学系全国知名，你值得拥有。详情请咨询邓总 @邓铂鋆 （狗头保命）但是我觉得这是假的，我把话放在哪里这里，欢迎明年1月1日来打脸。对了，论文发在知乎上面你不觉得太可惜了吗？不得发在微博这种用户更多的平台吗？最后，我严肃说一下:我希望以后不要在知乎上看见这种问题。肖明浩BIT：民科还是天才，这是一个问题
lin-yun-1-69 , 证明失败，抬走，有请下一位追梦人。
shan-zai-shan-zai-94 , 唔，，我觉得一个能证明出哥德巴赫猜想的大牛应该不会收藏这种问题，，无任何贬义，就事论事 
wang-liu-liu-19-81 , 如果我100米跑进7秒，能不能拿到我们小学的短跑冠军？如果我成了世界首富，是不是就能进我们村村口最大的大排档里面吃饭了？如果我被清华北大数学系保送，是不是就能进我们村最好的中学读书了？
su-xie-jie-jue , 。我卸载知乎一段时间了空间看到你这个问题，特意下载回来围观坐等1.1你的论文
zhe-li-you-ba-98k , 我现在关心的不仅只是明年年初中美合拍的西游记了
